NPRO,POB_AREA_GEO
Albacete,303424
Alicante,1723811
Almería,489901
Araba/Álava,294587
Asturias,885568
Badajoz,451181
"Balears, Illes",1118941
Barcelona,5325832
Bizkaia,1062914
Burgos,252688
Cantabria,503660
Castellón/Castelló,500718
Ceuta,75914
Ciudad Real,420689
"Coruña, A",1030104
Cuenca,98360
Cáceres,242402
Cádiz,1192006
Córdoba,643487
Gipuzkoa,660006
Girona,604164
Granada,762327
Guadalajara,174113
Huelva,449620
Huesca,146416
Jaén,442800
León,327683
Lleida,284315
Lugo,240467
Madrid,5988086
Melilla,83753
Murcia,1383259
Málaga,1419899
Navarra,498693
Ourense,210707
Palencia,106918
"Palmas, Las",1083636
Pontevedra,896633
"Rioja, La",245916
Salamanca,224650
Santa Cruz de Tenerife,896433
Segovia,86222
Sevilla,1779644
Soria,55211
Tarragona,665323
Teruel,67487
Toledo,438078
Valencia/Valéncia,2280624
Valladolid,435759
Zamora,55411
Zaragoza,794899
Ávila,87555
